Year,ISO Code,Countries,Government consumption,Government investment,Size of Government,Regulatory trade barriers,Financial openness,Controls of the movement of capital and people,Credit market regulations,Hiring regulations and minimum wage,Freedom to enter markets and compete,Regulation
2021,KAZ,Kazakhstan,6.33,10.0,7.64,5.38,4.87,2.9,8.98,7.5,5.88,6.77
2021,KEN,Kenya,7.7,2.27,7.06,4.66,6.0,3.85,9.14,7.08,5.61,6.83
2021,KGZ,Kyrgyz Republic,6.64,,7.38,6.18,6.43,4.99,9.0,6.25,6.66,6.77
2021,KHM,Cambodia,8.68,8.79,8.85,4.66,6.25,4.26,8.25,5.83,4.04,5.66
2021,KOR,"Korea, Rep.",3.46,9.79,6.29,8.27,8.75,5.55,9.31,6.53,7.99,7.3
2021,KWT,Kuwait,0.84,6.46,5.92,5.23,7.25,5.51,10.0,7.5,6.15,6.54
2021,LAO,Lao PDR,5.55,7.38,6.94,6.98,1.0,1.89,9.13,5.28,5.28,5.62
2021,LBN,Lebanon,10.0,10.0,8.47,4.03,2.54,2.28,6.67,5.28,3.95,5.32
2021,LBR,Liberia,2.25,4.11,6.01,1.82,4.83,4.05,5.67,3.33,4.14,4.59
2021,LBY,Libya,0.0,0.0,3.73,3.6,3.32,1.49,7.0,4.87,2.63,4.31
2021,LKA,Sri Lanka,7.93,8.49,8.28,5.96,3.32,2.13,7.25,7.5,6.89,6.09
2021,LSO,Lesotho,1.83,0.02,5.21,6.37,2.07,1.42,10.0,3.33,3.63,5.83
2021,LTU,Lithuania,4.95,10.0,6.94,8.71,8.75,7.8,9.84,6.12,8.08,7.8
2021,LUX,Luxembourg,1.0,7.29,5.39,9.35,10.0,5.74,9.0,4.87,8.37,8.14
2021,LVA,Latvia,3.96,7.63,6.01,8.67,8.75,7.89,8.23,5.0,7.79,7.75
2021,MAR,Morocco,4.76,9.59,6.56,7.6,3.32,2.49,8.65,1.8,7.05,6.51
2021,MDA,Moldova,6.81,10.0,7.84,7.18,3.32,4.75,9.62,4.03,4.82,6.42
2021,MDG,Madagascar,5.09,6.57,7.36,5.0,3.32,2.32,7.05,2.5,5.57,5.45
2021,MEX,Mexico,7.21,10.0,8.15,8.26,8.5,5.99,8.15,7.08,7.32,6.33
2021,MKD,North Macedonia,6.14,8.44,6.93,6.67,5.16,5.94,9.38,7.37,7.97,7.69
2021,MLI,Mali,6.45,5.11,6.47,5.04,3.32,2.2,7.7,5.28,6.63,6.0
2021,MLT,Malta,2.2,10.0,6.46,8.72,10.0,6.56,9.11,6.12,7.6,7.78
2021,MMR,Myanmar,2.98,6.59,6.43,1.69,1.53,1.16,5.9,8.2,5.42,5.19
2021,MNE,Montenegro,5.51,5.18,6.44,8.58,2.5,6.4,9.5,7.08,8.67,7.93
2021,MNG,Mongolia,5.31,6.89,6.55,4.42,6.35,5.01,7.68,6.95,7.24,6.76
2021,MOZ,Mozambique,5.38,8.44,6.89,5.97,2.42,1.93,9.64,4.17,6.19,5.79
2021,MRT,Mauritania,5.07,10.0,5.42,4.86,3.32,2.47,9.67,4.03,5.54,6.09
2021,MUS,Mauritius,6.23,8.26,7.71,8.4,7.25,4.72,6.0,7.08,7.48,6.84
2021,MWI,Malawi,8.85,1.31,6.51,4.94,2.42,1.86,6.68,4.05,4.97,5.92
2021,MYS,Malaysia,6.47,7.87,7.27,7.87,5.84,3.42,8.85,8.75,7.03,7.54
2021,NAM,Namibia,4.34,10.0,7.13,5.24,3.32,1.79,6.67,5.0,3.66,5.54
2021,NER,Niger,6.06,4.69,6.52,4.69,3.32,1.65,7.21,3.33,7.01,6.14
2021,NGA,Nigeria,9.53,10.0,8.72,2.49,4.0,3.62,9.15,8.75,6.0,6.77
2021,NIC,Nicaragua,7.06,2.73,6.15,6.6,7.5,4.32,9.54,5.83,5.3,6.02
2021,NLD,Netherlands,0.44,9.71,4.9,9.04,10.0,6.79,8.03,5.83,8.37,7.67
2021,NOR,Norway,0.74,7.74,4.97,8.78,10.0,7.95,8.33,6.12,7.82,7.32
2021,NPL,Nepal,9.09,8.23,7.63,5.19,2.93,1.54,9.33,5.83,7.29,6.97
2021,NZL,New Zealand,3.75,7.92,6.15,8.73,10.0,6.34,9.34,8.2,9.71,8.95
2021,OMN,Oman,1.96,0.0,5.01,7.48,8.75,4.82,5.67,6.95,6.81,6.27
2021,PAK,Pakistan,8.35,9.37,8.24,4.04,3.32,2.58,7.76,3.05,6.04,5.76
2021,PAN,Panama,4.75,10.0,7.61,7.79,10.0,6.9,8.06,3.62,7.84,6.55
2021,PER,Peru,6.25,7.78,7.61,7.2,10.0,6.24,8.59,5.28,7.82,7.15
2021,PHL,Philippines,6.73,8.83,7.91,5.92,4.73,2.67,8.57,6.38,6.53,6.62
2021,PNG,Papua New Guinea,3.54,7.52,6.04,5.63,4.0,4.17,7.86,7.63,5.67,6.4
2021,POL,Poland,4.41,7.37,5.76,8.5,7.25,6.63,8.02,5.28,7.37,7.09
2021,PRT,Portugal,5.04,10.0,6.04,8.7,10.0,6.17,7.49,3.62,7.54,6.87
2021,PRY,Paraguay,6.88,7.48,8.0,5.7,6.35,4.07,8.49,6.53,7.84,6.57
2021,QAT,Qatar,0.0,,5.94,7.27,8.75,5.32,6.67,7.5,6.12,6.27
2021,ROU,Romania,5.33,8.74,6.95,8.63,8.45,7.01,8.09,4.45,6.34,7.03
2021,RUS,Russian Federation,4.06,8.02,5.92,5.71,3.95,2.18,7.33,4.42,5.11,5.58
2021,RWA,Rwanda,6.19,0.57,4.93,5.6,6.23,5.13,6.27,8.75,6.86,6.85
2021,SAU,Saudi Arabia,0.86,2.24,4.81,7.13,6.54,3.23,6.84,5.89,6.05,6.21
2021,SDN,Sudan,8.41,10.0,7.37,1.71,5.21,4.09,4.02,5.42,4.51,4.02
2021,SEN,Senegal,6.6,7.89,7.05,5.73,3.61,2.64,7.53,2.5,7.01,6.05
2021,SGP,Singapore,3.78,9.45,7.26,9.19,10.0,6.55,10.0,8.75,8.54,8.74
2021,SLE,Sierra Leone,9.86,2.54,7.1,4.47,3.32,2.11,3.67,4.17,5.94,4.76
2021,SLV,El Salvador,6.16,10.0,8.52,7.45,7.25,6.27,7.85,4.72,6.34,5.8
